0.75
0.022,0.029,0.036,0.043,0.052,0.060,0.069,0.078,0.085,0.091,0.096,0.099,0.100,0.100,0.097,0.092,0.086,0.078,0.070,0.062,0.054,0.046,0.038,0.032,0.026,0.021,0.017,0.014,0.011,0.009,0.007,0.006,0.005,0.004,0.003,0.002,0.001,0.001,0.000,0.000
0.034,0.043,0.053,0.065,0.078,0.091,0.103,0.116,0.127,0.137,0.144,0.148,0.150,0.149,0.144,0.137,0.128,0.118,0.106,0.093,0.081,0.069,0.059,0.049,0.041,0.034,0.028,0.023,0.019,0.016,0.013,0.011,0.009,0.007,0.005,0.004,0.003,0.002,0.001,0.001
0.050,0.063,0.078,0.095,0.114,0.132,0.151,0.170,0.186,0.200,0.210,0.217,0.219,0.217,0.211,0.201,0.188,0.172,0.155,0.137,0.120,0.103,0.088,0.074,0.062,0.052,0.043,0.036,0.031,0.026,0.022,0.018,0.015,0.012,0.010,0.008,0.006,0.004,0.003,0.002
0.071,0.090,0.112,0.137,0.163,0.190,0.217,0.243,0.266,0.286,0.301,0.311,0.314,0.311,0.303,0.288,0.270,0.248,0.223,0.198,0.174,0.150,0.128,0.109,0.093,0.079,0.067,0.057,0.049,0.042,0.036,0.030,0.026,0.021,0.017,0.014,0.011,0.008,0.006,0.004
0.100,0.127,0.158,0.192,0.228,0.266,0.304,0.340,0.373,0.401,0.422,0.436,0.441,0.437,0.425,0.405,0.379,0.348,0.315,0.280,0.246,0.214,0.185,0.159,0.136,0.117,0.101,0.087,0.076,0.066,0.057,0.049,0.042,0.035,0.029,0.024,0.019,0.014,0.011,0.008
0.138,0.175,0.217,0.263,0.313,0.365,0.417,0.467,0.512,0.551,0.580,0.598,0.605,0.600,0.584,0.557,0.522,0.481,0.435,0.389,0.343,0.300,0.261,0.226,0.196,0.170,0.149,0.131,0.116,0.102,0.090,0.078,0.067,0.057,0.047,0.038,0.030,0.024,0.018,0.013
0.186,0.235,0.292,0.354,0.422,0.492,0.562,0.628,0.689,0.741,0.780,0.805,0.814,0.808,0.786,0.751,0.704,0.650,0.590,0.529,0.469,0.412,0.361,0.316,0.277,0.245,0.217,0.193,0.173,0.154,0.137,0.120,0.104,0.089,0.074,0.061,0.048,0.038,0.028,0.021
0.245,0.310,0.385,0.467,0.556,0.648,0.740,0.828,0.908,0.976,1.028,1.061,1.074,1.065,1.037,0.992,0.931,0.861,0.784,0.705,0.628,0.556,0.491,0.434,0.386,0.345,0.310,0.280,0.253,0.228,0.205,0.181,0.158,0.135,0.113,0.093,0.074,0.058,0.044,0.032
0.317,0.401,0.497,0.603,0.718,0.836,0.955,1.069,1.173,1.260,1.327,1.370,1.387,1.377,1.342,1.283,1.207,1.118,1.021,0.922,0.826,0.736,0.656,0.586,0.527,0.477,0.435,0.397,0.363,0.331,0.298,0.266,0.233,0.200,0.168,0.138,0.111,0.087,0.066,0.049
0.401,0.507,0.628,0.763,0.908,1.058,1.208,1.352,1.483,1.594,1.679,1.734,1.756,1.744,1.700,1.628,1.533,1.423,1.303,1.182,1.065,0.957,0.860,0.777,0.707,0.648,0.597,0.552,0.510,0.468,0.425,0.380,0.335,0.289,0.244,0.201,0.161,0.126,0.096,0.071
